名前,ID,育て方,ブースト,種族値,ランク,実数値,D,C,B,A,ブイズ,DLC,碧の仮面,藍の円盤,キタカミプロローグ
ドククラゲ,86,最速,スカーフ,100,0,250,X,X,X,X,X,O,X,O,O
フライゴン,373,最速,スカーフ,100,0,250,X,X,X,X,X,O,O,X,X
エテボース,472,準速,スカーフ,115,0,250,X,X,X,X,X,O,X,O,O
シェイミ(ランドフォルム),549,最速,スカーフ,100,0,250,X,X,X,X,X,O,O,X,X
チラチーノ,641,準速,スカーフ,115,0,250,X,X,X,X,X,O,O,X,X
キュワワー,863,最速,スカーフ,100,0,250,X,X,X,X,X,O,X,X,X
キチキギス,1143,最速,スカーフ,99,0,249,O,X,X,X,X,O,X,X,O
バスラオ(あかすじ),610,最速,スカーフ,98,0,247,O,O,O,O,X,X,X,X,O
バスラオ(あおすじ),609,最速,スカーフ,98,0,247,O,O,O,O,X,X,X,X,O
バスラオ(しろすじ),611,最速,スカーフ,98,0,247,O,X,X,X,X,X,X,X,O
バスラオ(しろすじ),611,最速,びびり,98,1,247,O,X,X,X,X,X,X,X,O
サザンドラ,705,最速,スカーフ,98,0,247,O,O,O,O,X,X,X,X,X
ジャローダ,554,準速,スカーフ,113,0,247,X,X,X,X,X,O,O,X,X
スワンナ,649,最速,スカーフ,98,0,247,X,X,X,X,X,O,X,O,O
ルガルガン(まひるのすがた),841,準速,スカーフ,112,0,246,O,O,O,O,X,X,X,X,O
ルガルガン(まひるのすがた),841,準速,ふくつのこころ,112,1,246,O,O,O,O,X,X,X,X,O
フシギソウ,1,最速,ようりょくそ,60,2,246,X,X,X,X,X,O,O,X,X
タッツー,144,最速,すいすい,60,2,246,X,X,X,X,X,O,O,X,X
コノハナ,317,最速,ようりょくそ,60,2,246,X,X,X,X,X,O,X,O,O
バルチャイ,699,最速,くだけるよろい,60,2,246,X,X,X,X,X,O,X,O,O
ラブカス,413,最速,スカーフ,97,0,244,O,O,O,O,X,X,X,X,X
フワンテ,473,準速,かるわざ,70,2,244,O,O,O,O,X,X,X,X,X
オノノクス,680,最速,スカーフ,97,0,244,O,O,O,O,X,X,X,X,X
トルネロス(けしんフォルム),711,準速,スカーフ,111,0,244,O,X,X,X,X,X,X,X,X
ボルトロス(けしんフォルム),713,準速,スカーフ,111,0,244,O,X,X,X,X,X,X,X,X
ゲコガシラ,734,最速,スカーフ,97,0,244,O,X,X,X,X,X,X,X,X
ポットデス,959,準速,くだけるよろい,70,2,244,O,O,O,O,X,X,X,X,X
ウーラオス(いちげきのかた),1001,最速,スカーフ,97,0,244,O,X,X,X,X,X,X,X,X
イッカネズミ(3びきかぞく),1041,準速,スカーフ,111,0,244,O,O,O,O,X,X,X,X,O
サケブシッポ,1109,準速,スカーフ,111,0,244,O,O,O,O,X,X,X,X,X
サケブシッポ,1109,準速,こだいかっせい,111,1,244,O,O,O,O,X,X,X,X,X
ニョロボン,75,準速,すいすい,70,2,244,X,X,X,X,X,O,X,O,O
ウツボット,84,準速,ようりょくそ,70,2,244,X,X,X,X,X,O,X,O,O
エアームド,268,準速,くだけるよろい,70,2,244,X,X,X,X,X,O,O,X,X
キモリ,293,準速,かるわざ,70,2,244,X,X,X,X,X,O,O,X,X
ルンパッパ,315,準速,すいすい,70,2,244,X,X,X,X,X,O,X,O,O
モルペコ,983,最速,スカーフ,97,0,244,X,X,X,X,X,O,X,O,O
ライチュウ(原種),27,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,O
ライチュウ(アローラのすがた),28,準速,スカーフ,110,0,243,O,X,X,X,X,X,X,X,O
ダグトリオ(アローラのすがた),59,準速,スカーフ,110,0,243,O,X,X,X,X,X,X,X,X
ゲンガー,117,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,O
ケンタロス(原種),157,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,X
ワタッコ,225,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,X
エーフィ,233,準速,スカーフ,110,0,243,O,O,O,O,O,X,X,X,X
ユキメノコ,526,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,O
ゾロアーク(ヒスイのすがた),639,準速,スカーフ,110,0,243,O,X,X,X,X,X,X,X,X
ルガルガン(たそがれのすがた),843,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,O
ミミッキュ,878,最速,スカーフ,96,0,243,O,O,O,O,X,X,X,X,O
タギングル,1065,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,X
テツノドクガ,1118,準速,スカーフ,110,0,243,O,O,O,O,X,X,X,X,X
テツノドクガ,1118,準速,クォークチャージ,110,1,243,O,O,O,O,X,X,X,X,X
ドードリオ,106,準速,スカーフ,110,0,243,X,X,X,X,X,O,O,X,X
オーガポン(みどりのめん),1144,準速,スカーフ,110,0,243,O,X,X,X,X,O,X,X,O
オーガポン(みどりのめん),1144,準速,おもかげやどし,110,1,243,O,X,X,X,X,O,X,X,O
ディグダ(原種),56,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,X
オコリザル,68,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,O
ウインディ(原種),71,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,O
ゴースト,116,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,O
フリーザー(ガラルのすがた),177,最速,スカーフ,95,0,241,O,X,X,X,X,X,X,X,X
バクフーン(ヒスイのすがた),193,最速,スカーフ,95,0,241,O,X,X,X,X,X,X,X,X
ヘルガー,270,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,O
パチリス,465,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,O
リーフィア,518,最速,スカーフ,95,0,241,O,O,O,O,O,X,X,X,X
ユクシー,533,最速,スカーフ,95,0,241,O,X,X,X,X,X,X,X,X
メブキジカ,654,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,X
イエッサン(オスのすがた),981,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,O
バウッツェル,1044,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,X
ウミディグダ,1080,最速,スカーフ,95,0,241,O,O,O,O,X,X,X,X,X
ウミディグダ,1080,最速,びびり,95,1,241,O,O,O,O,X,X,X,X,X
レックウザ,427,最速,スカーフ,95,0,241,X,X,X,X,X,X,X,X,X
ウネルミナモ,1136,準速,スカーフ,109,0,241,X,X,X,X,X,X,X,X,X
ウネルミナモ,1136,準速,こだいかっせい,109,1,241,X,X,X,X,X,X,X,X,X
キュウコン(アローラのすがた),44,準速,スカーフ,109,0,241,X,X,X,X,X,O,X,O,O
ヤンヤンマ,229,最速,スカーフ,95,0,241,X,X,X,X,X,O,X,O,O
ヤンヤンマ,229,最速,かそく,95,1,241,X,X,X,X,X,O,X,O,O
エレキッド,280,最速,スカーフ,95,0,241,X,X,X,X,X,O,X,X,X
ジュプトル,294,最速,スカーフ,95,0,241,X,X,X,X,X,O,O,X,X
プラスル,354,最速,スカーフ,95,0,241,X,X,X,X,X,O,X,X,X
マイナン,355,最速,スカーフ,95,0,241,X,X,X,X,X,O,X,X,X
エレキブル,514,最速,スカーフ,95,0,241,X,X,X,X,X,O,X,X,X
エレキブル,514,最速,でんきエンジン,95,1,241,X,X,X,X,X,O,X,X,X
メガヤンマ,517,最速,スカーフ,95,0,241,X,X,X,X,X,O,X,O,O
メガヤンマ,517,最速,かそく,95,1,241,X,X,X,X,X,O,X,O,O
グライオン,520,最速,スカーフ,95,0,241,X,X,X,X,X,O,X,O,O
ラビフット,917,最速,スカーフ,94,0,240,O,X,X,X,X,X,X,X,X
デカヌチャン,1079,最速,スカーフ,94,0,240,O,O,O,O,X,X,X,X,X
ハカドッグ,1093,準速,すなかき,68,2,240,O,O,O,O,X,X,X,X,X
テツノコウベ,1117,準速,スカーフ,108,0,240,O,O,O,O,X,X,X,X,X
テツノコウベ,1117,準速,クォークチャージ,108,1,240,O,O,O,O,X,X,X,X,X
ゴウカザル,438,準速,スカーフ,108,0,240,X,X,X,X,X,O,O,X,X
モグリュー,587,準速,すなかき,68,2,240,X,X,X,X,X,O,X,X,X
デンチュラ,664,準速,スカーフ,108,0,240,X,X,X,X,X,O,X,X,X
オドリドリ(めらめらスタイル),837,最速,スカーフ,93,0,238,O,O,O,O,X,X,X,X,O
オドリドリ(ぱちぱちスタイル),834,最速,スカーフ,93,0,238,O,O,O,O,X,X,X,X,O
オドリドリ(ふらふらスタイル),835,最速,スカーフ,93,0,238,O,O,O,O,X,X,X,X,O
オドリドリ(まいまいスタイル),836,最速,スカーフ,93,0,238,O,O,O,O,X,X,X,X,O
ブーバー,155,最速,スカーフ,93,0,238,X,X,X,X,X,O,O,X,X
ワルビアル,614,最速,スカーフ,92,0,237,O,O,O,O,X,X,X,X,X
カエンジシ,746,準速,スカーフ,106,0,237,O,O,O,O,X,X,X,X,X
ハギギシリ,879,最速,スカーフ,92,0,237,O,O,O,O,X,X,X,X,X
ラブトロス(けしんフォルム),1019,準速,スカーフ,106,0,237,O,X,X,X,X,X,X,X,X
エクスレッグ,1036,最速,スカーフ,92,0,237,O,O,O,O,X,X,X,X,X
イキリンコ(グリーンフェザー),1049,最速,スカーフ,92,0,237,O,O,O,O,X,X,X,X,X
イキリンコ(ブルーフェザー),1050,最速,スカーフ,92,0,237,O,O,O,O,X,X,X,X,X
イキリンコ(イエローフェザー),1048,最速,スカーフ,92,0,237,O,O,O,O,X,X,X,X,X
イキリンコ(ホワイトフェザー),1051,最速,スカーフ,92,0,237,O,O,O,O,X,X,X,X,X
テツノワダチ,1114,準速,スカーフ,106,0,237,O,O,O,O,X,X,X,X,X
テツノワダチ,1114,準速,クォークチャージ,106,1,237,O,O,O,O,X,X,X,X,X
ハハコモリ,600,最速,スカーフ,92,0,237,X,X,X,X,X,O,X,O,O
マシマシラ,1142,準速,スカーフ,106,0,237,O,X,X,X,X,O,X,X,O
ケイコウオ,504,準速,すいすい,66,2,236,O,O,O,O,X,X,X,X,X
サシカマス,949,準速,すいすい,66,2,236,O,O,O,O,X,X,X,X,O
モンメン,604,準速,ようりょくそ,66,2,236,X,X,X,X,X,O,O,X,X
ストライク,152,準速,スカーフ,105,0,235,O,O,O,O,X,X,X,X,X
ストライク,152,準速,ふくつのこころ,105,1,235,O,O,O,O,X,X,X,X,X
ヤミカラス,235,最速,スカーフ,91,0,235,O,O,O,O,X,X,X,X,X
ムウマージ,477,準速,スカーフ,105,0,235,O,O,O,O,X,X,X,X,X
ネオラント,505,最速,スカーフ,91,0,235,O,O,O,O,X,X,X,X,X
ロトム(通常),527,最速,スカーフ,91,0,235,O,O,O,O,X,X,X,X,X
ドレディア(ヒスイのすがた),608,準速,スカーフ,105,0,235,O,X,X,X,X,X,X,X,O
ゾロアーク(原種),638,準速,スカーフ,105,0,235,O,O,O,O,X,X,X,X,X
フリージオ,683,準速,スカーフ,105,0,235,O,O,O,O,X,X,X,X,X
ランドロス(れいじゅうフォルム),718,最速,スカーフ,91,0,235,O,X,X,X,X,X,X,X,X
パーモット,1039,準速,スカーフ,105,0,235,O,O,O,O,X,X,X,X,X
クエスパトラ,1076,準速,スカーフ,105,0,235,O,O,O,O,X,X,X,X,X
クエスパトラ,1076,準速,かそく,105,1,235,O,O,O,O,X,X,X,X,X
ザルード,1003,準速,スカーフ,105,0,235,X,X,X,X,X,X,X,X,X
エレブー,154,準速,スカーフ,105,0,235,X,X,X,X,X,O,X,X,X
コジョンド,689,準速,スカーフ,105,0,235,X,X,X,X,X,O,X,O,O
ピカチュウ,26,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,O
モルフォン,55,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,X
ディグダ(アローラのすがた),57,最速,スカーフ,90,0,234,O,X,X,X,X,X,X,X,X
ニャース(原種),60,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,X
コダック,65,最速,すいすい,55,2,234,O,O,O,O,X,X,X,X,X
ウインディ(ヒスイのすがた),72,最速,スカーフ,90,0,234,O,X,X,X,X,X,X,X,O
ファイヤー(ガラルのすがた),181,最速,スカーフ,90,0,234,O,X,X,X,X,X,X,X,X
ファイヤー(原種),180,最速,スカーフ,90,0,234,O,X,X,X,X,X,X,X,X
アメタマ,326,準速,すいすい,65,2,234,O,O,O,O,X,X,X,X,O
ヤルキモノ,331,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,X
ザングース,378,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,X
ルカリオ,496,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,O
ルカリオ,496,最速,ふくつのこころ,90,1,234,O,O,O,O,X,X,X,X,O
ドレディア(原種),607,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,O
マフォクシー,732,準速,スカーフ,104,0,234,O,X,X,X,X,X,X,X,X
ジメレオン,920,最速,スカーフ,90,0,234,O,X,X,X,X,X,X,X,X
アノホラグサ,1067,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,X
ブロロローム,1087,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,X
カラミンゴ,1094,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,X
コノヨザル,1102,最速,スカーフ,90,0,234,O,O,O,O,X,X,X,X,O
カイオーガ,425,最速,スカーフ,90,0,234,X,X,X,X,X,X,X,X,X
グラードン,426,最速,スカーフ,90,0,234,X,X,X,X,X,X,X,X,X
ディアルガ(通常),536,最速,スカーフ,90,0,234,X,X,X,X,X,X,X,X,X
ディアルガ(オリジンフォルム),537,最速,スカーフ,90,0,234,X,X,X,X,X,X,X,X,X
ギラティナ(アナザーフォルム),543,最速,スカーフ,90,0,234,X,X,X,X,X,X,X,X,X
ギラティナ(オリジンフォルム),542,最速,スカーフ,90,0,234,X,X,X,X,X,X,X,X,X
メロエッタ(ボイスフォルム),725,最速,スカーフ,90,0,234,X,X,X,X,X,X,X,X,X
テツノイサハ,1137,準速,スカーフ,104,0,234,X,X,X,X,X,X,X,X,X
サンドパン(原種),31,準速,すなかき,65,2,234,X,X,X,X,X,O,X,O,O
サンドパン(アローラのすがた),32,準速,ゆきかき,65,2,234,X,X,X,X,X,O,X,O,O
ニョロモ,73,最速,スカーフ,90,0,234,X,X,X,X,X,O,X,O,O
ニョロゾ,74,最速,スカーフ,90,0,234,X,X,X,X,X,O,X,O,O
ウツドン,83,最速,ようりょくそ,55,2,234,X,X,X,X,X,O,X,O,O
ナッシー(原種),128,最速,ようりょくそ,55,2,234,X,X,X,X,X,O,O,X,X
オオタチ,198,最速,スカーフ,90,0,234,X,X,X,X,X,O,X,O,O
ポリゴンZ,522,最速,スカーフ,90,0,234,X,X,X,X,X,O,X,X,X
ニャオニクス(オスのすがた),756,準速,スカーフ,104,0,234,X,X,X,X,X,O,O,X,X
ニャオニクス(メスのすがた),757,準速,スカーフ,104,0,234,X,X,X,X,X,O,O,X,X
ニャヒート,819,最速,スカーフ,90,0,234,X,X,X,X,X,O,O,X,X
ビビヨン,744,最速,スカーフ,89,0,232,O,O,O,O,X,X,X,X,X
ガブリアス,493,準速,スカーフ,102,0,231,O,O,O,O,X,X,X,X,O
ドロンチ,992,準速,スカーフ,102,0,231,O,O,O,O,X,X,X,X,X
ドリュウズ,588,最速,スカーフ,88,0,231,X,X,X,X,X,O,X,X,X
ボルトロス(れいじゅうフォルム),714,準速,スカーフ,101,0,229,O,X,X,X,X,X,X,X,X
ランドロス(けしんフォルム),717,準速,スカーフ,101,0,229,O,X,X,X,X,X,X,X,X
デデンネ,782,準速,スカーフ,101,0,229,O,O,O,O,X,X,X,X,X
スナノケガワ,1113,準速,スカーフ,101,0,229,O,O,O,O,X,X,X,X,X
スナノケガワ,1113,準速,こだいかっせい,101,1,229,O,O,O,O,X,X,X,X,X
リザードン,5,準速,スカーフ,100,0,228,O,X,X,X,X,X,X,X,X
ビリリダマ(原種),123,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
ビリリダマ(ヒスイのすがた),124,準速,スカーフ,100,0,228,O,X,X,X,X,X,X,X,X
ケンタロス(パルデアのすがた単),158,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
ケンタロス(パルデアのすがた炎),159,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
ケンタロス(パルデアのすがた水),160,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
サンダー(ガラルのすがた),179,準速,スカーフ,100,0,228,O,X,X,X,X,X,X,X,X
サンダー(原種),178,準速,スカーフ,100,0,228,O,X,X,X,X,X,X,X,X
バクフーン(原種),192,準速,スカーフ,100,0,228,O,X,X,X,X,X,X,X,X
ケッキング,332,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
ボーマンダ,416,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
ムクホーク,444,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,O
ウルガモス,707,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
リククラゲ,1069,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,O
イルカマン(ナイーブフォルム),1084,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
イルカマン(マイティフォルム),1085,準速,スカーフ,100,0,228,O,O,O,O,X,X,X,X,X
イダイナキバ,1108,最速,スカーフ,87,0,228,O,O,O,O,X,X,X,X,X
イダイナキバ,1108,最速,こだいかっせい,87,1,228,O,O,O,O,X,X,X,X,X
セグレイブ,1122,最速,スカーフ,87,0,228,O,O,O,O,X,X,X,X,X
イーユイ,1129,準速,スカーフ,100,0,228,O,O,X,X,X,X,X,X,X
ミュウ,186,準速,スカーフ,100,0,228,X,X,X,X,X,X,X,X,X
パルキア(通常),538,準速,スカーフ,100,0,228,X,X,X,X,X,X,X,X,X
キュウコン(原種),43,準速,スカーフ,100,0,228,X,X,X,X,X,O,X,O,O
ドククラゲ,86,準速,スカーフ,100,0,228,X,X,X,X,X,O,X,O,O
サワムラー,133,最速,スカーフ,87,0,228,X,X,X,X,X,O,O,X,X
フライゴン,373,準速,スカーフ,100,0,228,X,X,X,X,X,O,O,X,X
シェイミ(ランドフォルム),549,準速,スカーフ,100,0,228,X,X,X,X,X,O,O,X,X
キュワワー,863,準速,スカーフ,100,0,228,X,X,X,X,X,O,X,X,X
トロピウス,400,最速,ようりょくそ,51,2,226,O,O,O,O,X,X,X,X,X
ロトム(ヒート),531,最速,スカーフ,86,0,226,O,O,O,O,X,X,X,X,X
ロトム(ウォッシュ),528,最速,スカーフ,86,0,226,O,O,O,O,X,X,X,X,X
ロトム(フロスト),532,最速,スカーフ,86,0,226,O,O,O,O,X,X,X,X,X
ロトム(スピン),530,最速,スカーフ,86,0,226,O,O,O,O,X,X,X,X,X
ロトム(カット),529,最速,スカーフ,86,0,226,O,O,O,O,X,X,X,X,X
キラフロル,1091,最速,スカーフ,86,0,226,O,O,O,O,X,X,X,X,O
キチキギス,1143,準速,スカーフ,99,0,226,O,X,X,X,X,O,X,X,O
ゴルダック,66,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
フリーザー(原種),176,最速,スカーフ,85,0,225,O,X,X,X,X,X,X,X,X
ムウマ,238,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
キリンリキ,241,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
ハリーセン(原種),249,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
ハリーセン(ヒスイのすがた),250,最速,スカーフ,85,0,225,O,X,X,X,X,X,X,X,X
ヘラクロス,253,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,O
オドシシ,275,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,O
キャモメ,321,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
ブイゼル,466,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
ドクロッグ,502,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
クレセリア,544,最速,スカーフ,85,0,225,O,X,X,X,X,X,X,X,X
ダイケンキ(ヒスイのすがた),561,最速,スカーフ,85,0,225,O,X,X,X,X,X,X,X,X
バスラオ(あかすじ),610,準速,スカーフ,98,0,225,O,O,O,O,X,X,X,X,O
バスラオ(あおすじ),609,準速,スカーフ,98,0,225,O,O,O,O,X,X,X,X,O
バスラオ(しろすじ),611,準速,スカーフ,98,0,225,O,X,X,X,X,X,X,X,O
バスラオ(しろすじ),611,準速,びびり,98,1,225,O,X,X,X,X,X,X,X,O
サザンドラ,705,準速,スカーフ,98,0,225,O,O,O,O,X,X,X,X,X
ゴリランダー,915,最速,スカーフ,85,0,225,O,X,X,X,X,X,X,X,X
イエッサン(メスのすがた),982,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,O
バサギリ,1012,最速,スカーフ,85,0,225,O,X,X,X,X,X,X,X,X
ハリーマン,1018,最速,スカーフ,85,0,225,O,X,X,X,X,X,X,X,X
ウェーニバル,1029,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
パモット,1038,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
ソウブレイズ,1057,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
マフィティフ,1063,最速,スカーフ,85,0,225,O,O,O,O,X,X,X,X,X
シードラ,145,最速,スカーフ,85,0,225,X,X,X,X,X,O,O,X,X
エイパム,226,最速,スカーフ,85,0,225,X,X,X,X,X,O,X,O,O
グライガー,245,最速,スカーフ,85,0,225,X,X,X,X,X,O,X,O,O
キングドラ,271,最速,スカーフ,85,0,225,X,X,X,X,X,O,O,X,X
バルビート,356,最速,スカーフ,85,0,225,X,X,X,X,X,O,X,O,O
イルミーゼ,357,最速,スカーフ,85,0,225,X,X,X,X,X,O,X,O,O
スワンナ,649,準速,スカーフ,98,0,225,X,X,X,X,X,O,X,O,O
ジャラランガ,884,最速,スカーフ,85,0,225,X,X,X,X,X,O,X,O,O
ウッウ,948,最速,スカーフ,85,0,225,X,X,X,X,X,O,X,O,O
ジュラルドン,990,最速,スカーフ,85,0,225,X,X,X,X,X,O,O,X,X
ハネッコ,223,最速,ようりょくそ,50,2,224,O,O,O,O,X,X,X,X,X
ユキワラシ,404,最速,ムラっけ,50,2,224,O,O,O,O,X,X,X,X,O
ツンベアー,682,最速,ゆきかき,50,2,224,O,O,O,O,X,X,X,X,X
ツンベアー,682,最速,すいすい,50,2,224,O,O,O,O,X,X,X,X,X
ヤバチャ,958,最速,くだけるよろい,50,2,224,O,O,O,O,X,X,X,X,X
カプサイジ,1071,最速,ようりょくそ,50,2,224,O,O,O,O,X,X,X,X,X
フシギソウ,1,準速,ようりょくそ,60,2,224,X,X,X,X,X,O,O,X,X
ラフレシア,51,最速,ようりょくそ,50,2,224,X,X,X,X,X,O,O,X,X
タッツー,144,準速,すいすい,60,2,224,X,X,X,X,X,O,O,X,X
キレイハナ,218,最速,ようりょくそ,50,2,224,X,X,X,X,X,O,O,X,X
ハスブレロ,314,最速,すいすい,50,2,224,X,X,X,X,X,O,X,O,O
コノハナ,317,準速,ようりょくそ,60,2,224,X,X,X,X,X,O,X,O,O
バルチャイ,699,準速,くだけるよろい,60,2,224,X,X,X,X,X,O,X,O,O
ラブカス,413,準速,スカーフ,97,0,223,O,O,O,O,X,X,X,X,X
スカタンク,483,最速,スカーフ,84,0,223,O,O,O,O,X,X,X,X,X
オノノクス,680,準速,スカーフ,97,0,223,O,O,O,O,X,X,X,X,X
ゲコガシラ,734,準速,スカーフ,97,0,223,O,X,X,X,X,X,X,X,X
ヒノヤコマ,740,最速,スカーフ,84,0,223,O,O,O,O,X,X,X,X,X
ウーラオス(いちげきのかた),1001,準速,スカーフ,97,0,223,O,X,X,X,X,X,X,X,X
サーフゴー,1125,最速,スカーフ,84,0,223,O,O,O,O,X,X,X,X,X
アブリー,838,最速,スカーフ,84,0,223,X,X,X,X,X,O,X,O,O
モルペコ,983,準速,スカーフ,97,0,223,X,X,X,X,X,O,X,O,O
マルマイン(原種),125,最速,,150,0,222,O,O,O,O,X,X,X,X,X
マルマイン(ヒスイのすがた),126,最速,,150,0,222,O,X,X,X,X,X,X,X,X
ミミッキュ,878,準速,スカーフ,96,0,222,O,O,O,O,X,X,X,X,O
ニャローテ,1022,最速,スカーフ,83,0,222,O,O,O,O,X,X,X,X,X
ブビィ,281,最速,スカーフ,83,0,222,X,X,X,X,X,O,O,X,X
ブーバーン,515,最速,スカーフ,83,0,222,X,X,X,X,X,O,O,X,X
ジャノビー,553,最速,スカーフ,83,0,222,X,X,X,X,X,O,O,X,X
ディグダ(原種),56,準速,スカーフ,95,0,220,O,O,O,O,X,X,X,X,X
オコリザル,68,準速,スカーフ,95,0,220,O,O,O,O,X,X,X,X,O
ウインディ(原種),71,準速,スカーフ,95,0,220,O,O,O,O,X,X,X,X,O
ゴースト,116,準速,スカーフ,95,0,220,O,O,O,O,X,X,X,X,O
フリーザー(ガラルのすがた),177,準速,スカーフ,95,0,220,O,X,X,X,X,X,X,X,X
バクフーン(ヒスイのすがた),193,準速,スカーフ,95,0,220,O,X,X,X,X,X,X,X,X
